id,Kode_Provinsi,Provinsi,Kabupaten_Kota,Jenis_Budidaya_Rumput_Laut,Tahun,Volume_Produksi_Kg,Nilai_Produksi_Rp
220.,52.,NUSA TENGGARA BARAT,LOMBOK TENGAH,RUMPUT LAUT COTTONII,2020.,30208022.,80407930500.
221.,52.,NUSA TENGGARA BARAT,LOMBOK TIMUR,RUMPUT LAUT COTTONII,2020.,4324755.,15136642500.
222.,52.,NUSA TENGGARA BARAT,SUMBAWA,RUMPUT LAUT SPINOSUM,2020.,465049044.,1627671654000.
223.,52.,NUSA TENGGARA BARAT,SUMBAWA BARAT,RUMPUT LAUT SPINOSUM,2020.,8411483.,25234449000.
224.,53.,NUSA TENGGARA TIMUR,ALOR,RUMPUT LAUT SPINOSUM,2020.,1989282.,4973205000.
225.,53.,NUSA TENGGARA TIMUR,FLORES TIMUR,RUMPUT LAUT SPINOSUM,2020.,113274483.,283186207500.
226.,53.,NUSA TENGGARA TIMUR,KUPANG,RUMPUT LAUT COTTONII,2020.,1879265956.,4954188456666.
227.,53.,NUSA TENGGARA TIMUR,LEMBATA,RUMPUT LAUT SPINOSUM,2020.,381174.,952935000.
228.,53.,NUSA TENGGARA TIMUR,NAGEKEO,RUMPUT LAUT SPINOSUM,2020.,61824.,185472000.
229.,53.,NUSA TENGGARA TIMUR,NGADA,RUMPUT LAUT SPINOSUM,2020.,392580.,1374030000.
230.,53.,NUSA TENGGARA TIMUR,ROTE NDAO,RUMPUT LAUT SPINOSUM,2020.,49542518.,247712590000.
231.,53.,NUSA TENGGARA TIMUR,SABU RAIJUA,RUMPUT LAUT SPINOSUM,2020.,80702716.,230002740600.
232.,53.,NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,RUMPUT LAUT SPINOSUM,2020.,3554175.,12439612500.
233.,53.,NUSA TENGGARA TIMUR,SUMBA TIMUR,RUMPUT LAUT COTTONII,2020.,29737886.,89213658000.
234.,94.,PAPUA,BIAK NUMFOR,RUMPUT LAUT COTTONII,2020.,160740.,241110000.
235.,94.,PAPUA,BIAK NUMFOR,RUMPUT LAUT SPINOSUM,2020.,268411.,268411000.
236.,94.,PAPUA,KEPULAUAN YAPEN,RUMPUT LAUT COTTONII,2020.,103825.,146971000.
237.,94.,PAPUA,SUPIORI,RUMPUT LAUT COTTONII,2020.,132288.,164648000.
238.,91.,PAPUA BARAT,FAK FAK,RUMPUT LAUT COTTONII,2020.,3000.,15000000.
239.,91.,PAPUA BARAT,KAIMANA,RUMPUT LAUT COTTONII,2020.,7800.,39000000.
240.,91.,PAPUA BARAT,KAIMANA,RUMPUT LAUT SPINOSUM,2020.,7600.,76000000.
241.,91.,PAPUA BARAT,RAJA AMPAT,RUMPUT LAUT COTTONII,2020.,1500.,7500000.
242.,91.,PAPUA BARAT,SORONG,RUMPUT LAUT SPINOSUM,2020.,214895.,1934055000.
243.,91.,PAPUA BARAT,TELUK WONDAMA,RUMPUT LAUT COTTONII,2020.,318358.,1114253000.
244.,91.,PAPUA BARAT,TELUK WONDAMA,RUMPUT LAUT SPINOSUM,2020.,54010.,189035000.
245.,76.,SULAWESI BARAT,MAMUJU,RUMPUT LAUT SPINOSUM,2020.,56104740.,140261850000.
246.,76.,SULAWESI BARAT,MAMUJU TENGAH,RUMPUT LAUT COTTONII,2020.,11213748.,28034370000.
247.,76.,SULAWESI BARAT,MAMUJU TENGAH,RUMPUT LAUT SPINOSUM,2020.,12155200.,36465600000.
248.,76.,SULAWESI BARAT,POLEWALI MANDAR,RUMPUT LAUT SPINOSUM,2020.,14713380.,66210210000.
249.,73.,SULAWESI SELATAN,BANTAENG,RUMPUT LAUT COTTONII,2020.,38046221.,180303831000.
250.,73.,SULAWESI SELATAN,BANTAENG,RUMPUT LAUT SPINOSUM,2020.,48679679.,54639308700.
251.,73.,SULAWESI SELATAN,BARRU,RUMPUT LAUT COTTONII,2020.,1179998.,5750001000.
252.,73.,SULAWESI SELATAN,BONE,RUMPUT LAUT COTTONII,2020.,80218505.,200546262500.
253.,73.,SULAWESI SELATAN,BONE,RUMPUT LAUT SPINOSUM,2020.,104691680.,261729200000.
254.,73.,SULAWESI SELATAN,BULUKUMBA,RUMPUT LAUT COTTONII,2020.,94188000.,188376000000.
255.,73.,SULAWESI SELATAN,BULUKUMBA,RUMPUT LAUT SPINOSUM,2020.,97200996.,194401992000.
256.,73.,SULAWESI SELATAN,JENEPONTO,RUMPUT LAUT COTTONII,2020.,217894557.,821741572500.
257.,73.,SULAWESI SELATAN,JENEPONTO,RUMPUT LAUT SPINOSUM,2020.,13859790.,8826229750.
258.,73.,SULAWESI SELATAN,KEPULAUAN SELAYAR,RUMPUT LAUT COTTONII,2020.,511120.,2044480000.
259.,73.,SULAWESI SELATAN,KEPULAUAN SELAYAR,RUMPUT LAUT SPINOSUM,2020.,130948.,130948000.
260.,73.,SULAWESI SELATAN,KOTA PALOPO,RUMPUT LAUT COTTONII,2020.,13838367.,48434284500.
261.,73.,SULAWESI SELATAN,KOTA PALOPO,RUMPUT LAUT GRACILARIA,2020.,17021198.,76595391000.
262.,73.,SULAWESI SELATAN,LUWU,RUMPUT LAUT SPINOSUM,2020.,290431816.,872078560000.
263.,73.,SULAWESI SELATAN,LUWU TIMUR,RUMPUT LAUT COTTONII,2020.,147820000.,235993601200.
264.,73.,SULAWESI SELATAN,LUWU UTARA,RUMPUT LAUT COTTONII,2020.,38418495.,93343294800.
265.,73.,SULAWESI SELATAN,MAROS,RUMPUT LAUT COTTONII,2020.,39999.,119997000.
266.,73.,SULAWESI SELATAN,MAROS,RUMPUT LAUT SPINOSUM,2020.,15999.,35997750.
267.,73.,SULAWESI SELATAN,PANGKAJENE KEPULAUAN,RUMPUT LAUT COTTONII,2020.,310948740.,932846220000.
268.,73.,SULAWESI SELATAN,PANGKAJENE KEPULAUAN,RUMPUT LAUT SPINOSUM,2020.,99350261.,447076174500.
269.,73.,SULAWESI SELATAN,PINRANG,RUMPUT LAUT SPINOSUM,2020.,13211340.,39634020000.
270.,73.,SULAWESI SELATAN,SINJAI,RUMPUT LAUT SPINOSUM,2020.,12925031.,11436852850.
271.,73.,SULAWESI SELATAN,TAKALAR,RUMPUT LAUT COTTONII,2020.,222052818.,977901975000.
272.,73.,SULAWESI SELATAN,TAKALAR,RUMPUT LAUT GRACILARIA,2020.,15317799.,65300194500.
273.,73.,SULAWESI SELATAN,TAKALAR,RUMPUT LAUT SPINOSUM,2020.,120989646.,636323055000.
274.,73.,SULAWESI SELATAN,WAJO,RUMPUT LAUT COTTONII,2020.,433317334.,1567753738000.
275.,72.,SULAWESI TENGAH,BANGGAI,RUMPUT LAUT COTTONII,2020.,2750776.,10671454000.
276.,72.,SULAWESI TENGAH,BANGGAI KEPULAUAN,RUMPUT LAUT COTTONII,2020.,691884512.,1796594048000.
277.,72.,SULAWESI TENGAH,BANGGAI LAUT,RUMPUT LAUT COTTONII,2020.,22163000.,61714983500.
278.,72.,SULAWESI TENGAH,DONGGALA,RUMPUT LAUT COTTONII,2020.,3199000.,15995000000.
279.,72.,SULAWESI TENGAH,MOROWALI,RUMPUT LAUT COTTONII,2020.,83788100.,167576200000.
280.,72.,SULAWESI TENGAH,MOROWALI,RUMPUT LAUT SPINOSUM,2020.,98260000.,171955000000.
281.,72.,SULAWESI TENGAH,MOROWALI UTARA,RUMPUT LAUT COTTONII,2020.,178800.,536400000.
282.,72.,SULAWESI TENGAH,PARIGI MOUTONG,RUMPUT LAUT COTTONII,2020.,9771631.,43972339500.
283.,72.,SULAWESI TENGAH,PARIGI MOUTONG,RUMPUT LAUT SPINOSUM,2020.,1183485.,2366970000.
284.,72.,SULAWESI TENGAH,POSO,RUMPUT LAUT COTTONII,2020.,1013456.,1013456000.
285.,72.,SULAWESI TENGAH,TOJO UNA UNA,RUMPUT LAUT COTTONII,2020.,2028850.,6086550000.
286.,72.,SULAWESI TENGAH,TOJO UNA UNA,RUMPUT LAUT SPINOSUM,2020.,5081790.,8441790000.
287.,72.,SULAWESI TENGAH,TOLI TOLI,RUMPUT LAUT COTTONII,2020.,84600.,84600000.
